The Hollies;Long Cool Woman (In a Black Dress);384;16;4/4;447760|74,224;76,220;74,216;76,352;74,156;76,160;79,368;76,252;74,424;76,128;76,232;74,224;76,112;76,368;67,388;64,328;74,356;76,132;76,208;74,168;76,364;74,144;79,188;79,352;69,356;67,248;69,172;71,120;67,388;64,144;67,408;64,392;76,1340;74,356;76,208;74,148;76,344;74,232;76,204;74,144;79,244;79,268;71,104;71,116;74,384;76,116;76,160;74,152;76,124;76,284;67,356;64,436;74,344;76,108;76,188;74,156;76,124;76,144;76,148;79,140;79,148;79,256;69,104;69,68;69,340;67,152;69,156;71,160;67,128;67,188;64,228;67,392;64,400;76,1840;76,100;81,216;79,132;81,212;79,136;81,204;79,124;81,184;79,108;81,192;79,132;81,92;81,328;79,88;76,280;76,108;81,204;79,200;81,104;81,392;79,156;76,96;76,792;79,372;76,396;74,412;76,384;76,168;76,148;76,124;76,296;76,208;74,120;76,220;74,128;76,228;74,128;79,240;79,216;71,116;71,120;74,384;76,164;74,160;76,280;76,112;76,132;67,364;64,520;64,104;74,124;76,260;76,320;74,160;76,168;74,88;79,240;79,236;69,84;69,56;69,392;69,224;69,212;67,152;69,156;71,96;67,200;64,440;76,1336;79,160;74,84;74,224;76,88;76,168;74,88;76,344;74,120;79,216;79,232;71,96;71,116;74,360;76,144;74,112;76,212;76,176;67,212;64,288;74,100;74,224;76,100;76,180;74,116;76,148;74,204;76,148;79,220;79,296;67,84;67,104;69,172;67,184;69,188;67,204;69,368;67,152;64,120;67,368;64,380;71,112;74,212;76,116;76,168;74,128;76,332;74,96;79,240;79,272;71,108;74,176;76,112;76,172;74,132;76,116;76,124;76,108;67,380;64,392;71,104;74,192;76,108;76,160;74,100;76,312;74,92;79,232;79,224;71,64;71,56;71,336;69,56;69,120;67,92;69,136;69,144;71,192;67,400;64,432;76,1340;74,104;74,80;74,360;76,124;74,92;76,356;74,216;76,168;79,260;79,260;71,88;71,96;74,380;76,124;74,72;76,344;74,148;76,348;67,580;74,72;74,68;74,416;76,108;76,100;76,152;79,300;79,108;79,84;79,180;76,104;76,80;76,416;79,48;79,72;79,48;79,76;79,188;79,100;79,64;76,88;76,216;74,100;74,228;76,128;76,216;74,108;74,176;74,132;74,144;74,132;74,252;76,224;74,108;76,216;74,144;76,172;74,120;79,276;76,228;71,108;71,120;74,388;76,140;74,96;76,304;76,96;76,88;67,364;64,552;76,324;76,160;74,168;76,252;76,296;74,180;76,200;74,144;79,264;79,208;69,88;69,68;69,292;69,276;69,372;67,112;69,164;71,100;67,200;64,428;76,1356;69,56;69,44;69,400;67,204;64,968;69,52;69,68;69,384;67,188;64,268;76,1400;79,180;79,148;79,264;79,152;79,144;79,244;79,144;79,136;79,220;76,2472;79,184;79,124;79,208;79,40;79,136;79,156;79,172;79,108;79,124
McCartney;Let 'em In;384;14;4/4;681810|74,76;74,68;74,96;72,84;74,96;72,84;74,96;77,288;74,84;74,88;74,88;74,96;72,84;70,88;74,252;74,80;74,68;74,96;72,84;74,96;72,56;74,96;77,288;74,84;74,88;74,88;74,96;72,84;70,88;74,264;75,80;75,68;75,80;75,248;75,100;75,92;74,84;72,92;70,428;65,64;67,76;65,80;74,580;79,64;74,88;72,80;70,124;67,572;74,80;74,68;74,96;72,84;74,96;72,56;74,96;77,288;74,84;74,88;74,88;74,96;72,84;70,88;74,284;74,80;74,68;74,96;72,80;74,96;72,56;74,96;77,288;74,84;74,88;74,88;74,96;72,84;70,88;74,264;75,80;75,68;75,80;75,248;75,100;75,92;74,84;72,92;70,428;65,64;67,100;65,80;74,580;74,176;72,388;70,220;74,104;72,80;72,104;70,324;77,100;77,84;75,252;72,368;77,112;77,80;74,512;77,116;77,80;75,280;72,352;77,112;77,136;74,420;77,96;77,84;75,276;72,264;77,104;77,96;74,444;77,76;77,64;77,76;75,268;72,204;72,188;77,200;75,188;79,564;77,572;76,760;75,472;65,204;74,388;72,296;77,100;77,84;75,252;72,368;77,112;77,80;74,512;77,116;77,80;75,280;72,352;77,112;77,96;74,424;77,96;77,84;75,276;72,264;77,104;77,96;74,444;77,72;77,64;77,76;75,268;72,204;72,184;77,200;75,188;79,552;77,572;76,760;75,472;65,204;74,188;72,572;74,80;74,68;74,96;72,84;74,96;72,84;74,96;77,288;74,84;74,88;74,88;74,96;72,84;70,88;74,220;74,80;74,68;74,96;72,80;74,96;72,56;74,96;77,288;74,84;74,88;74,88;74,96;72,84;70,88;74,240;75,80;75,68;75,80;75,256;75,192;75,92;74,84;72,92;70,428;65,64;67,76;65,80;74,580;79,116;74,88;72,256;72,300;74,88;70,100;72,364;70,148;74,116;74,100;74,100;74,84;74,88;77,308;74,112;74,80;74,112;72,88;70,88;74,216;67,172;65,1052;79,188;77,76;82,8;79,188;77,56;74,160;74,96;74,80;72,112;70,168;77,100;77,84;75,252;72,368;77,112;77,80;74,512;77,116;77,80;75,280;72,352;77,112;77,100;74,420;79,8;77,96;77,84;75,276;72,264;77,104;77,96;74,444;79,120;77,88;74,112;72,236;77,72;77,64;77,76;75,268;72,204;72,184;77,200;75,188;79,552;77,572;76,760;75,472;65,204;74,188;72,380;70,348;74,80;74,68;74,96;72,84;74,96;72,80;74,96;77,288;74,84;74,88;74,88;74,96;72,84;70,88;74,244;74,80;74,68;74,96;72,84;74,96;72,56;74,96;77,288;74,84;74,88;74,88;74,96;72,84;70,88;74,244;75,80;75,68;75,80;75,248;75,100;75,92;74,84;72,92;70,428;65,64;67,76;65,80;74,580;79,92;74,88;72,256;72,300;70,240;67,92;65,268;65,1144;70,368;67,1156;69,376;65,1144;70,372;67,1156;69,376;65,1136;70,376;67,1128;69,400;65,1132;70,396;63,132;65,88;67,136;69,80;70,160;69,80;67,148;65,88;63,128;65,68;67,168;69,76;70,176;69,68;67,144;65,92;62,176;65,84;67,152;69,92;70,140;69,68;67,128;65,92;62,176;65,1036;63,136;65,92;67,140;69,80;70,168;69,76;67,140;65,72;63,168;65,80;67,192;69,68;70,144;69,64;67,156;65,92;62,180;65,80;67,140;69,84;70,140;69,72;67,132;65,88;62,160;65,1312
The Monkees;Daydream Believer.4;384;7;4/4;500000|71,188;69,380;67,956;71,380;67,188;69,956;67,188;69,188;71,380;74,380;71,380;67,380;60,1148;74,188;74,380;74,188;74,572;76,380;67,956;69,188;71,380;69,956;71,188;73,380;74,1532;67,764;62,380;71,188;69,956;67,188;69,188;71,380;74,380;71,380;67,380;60,1148;74,188;74,380;74,188;74,380;76,572;67,380;67,380;66,380;69,380;67,1148;76,380;76,380;78,572;76,188;76,956;72,380;72,380;74,188;74,572;71,764;67,188;69,572;67,380;74,572;76,188;74,188;72,572;71,380;72,380;74,572;72,188;71,380;69,956;67,764;62,380;71,380;69,1148;67,188;69,188;71,380;74,380;71,380;67,380;60,1148;74,188;74,380;74,188;74,380;76,572;67,764;69,188;71,380;69,956;71,188;73,380;74,1532;67,764;62,380;71,380;69,1148;67,188;69,188;71,380;74,380;71,380;67,380;60,1148;74,188;74,380;74,188;74,380;76,572;67,380;67,380;66,380;69,380;67,764;76,380;76,380;78,572;76,188;76,956;72,380;72,380;74,188;74,572;71,764;67,188;69,572;67,380;74,572;76,188;74,188;72,572;71,380;72,380;74,572;72,188;71,380;69,956;71,188;73,380;74,1532;76,380;76,380;78,572;76,188;76,956;72,380;72,380;74,188;74,572;71,764;67,188;69,572;67,380;74,572;76,188;74,188;72,572;71,380;72,380;74,572;72,188;71,380;69,956;76,380;76,380;78,572;76,188;76,956;72,380;72,380;74,188;74,572;71,764;67,188;69,572;67,380;74,572;76,188;74,188;72,572;71,380;72,380;74,572;72,188;71,380;69,956;71,188;73,380;74,1532;76,380;76,380;78,572;76,188;76,956;72,380;72,380;74,188;74,572;71,764;67,188;69,572;67,380;74,572;76,188;74,188;72,572;71,380;72,380;74,572;72,188;71,380;69,956;71,188;73,380;74,1532;76,380;76,380;78,572;76,188;76,956;72,380;72,380;74,188;74,572;71,764;67,188;69,572;67,380;74,572;76,188;74,188;72,572;71,380;72,380;74,572;72,188;71,380;69,956;71,188;73,380;74,1532
Michael George;One More Try;120;5;12/8;1935484|48,29;57,29;60,29;60,59;57,29;62,59;60,119;53,29;57,29;55,29;53,29;55,29;57,29;53,209;58,29;62,29;65,29;65,59;62,29;67,59;65,119;60,29;63,29;62,29;60,29;62,29;60,29;62,29;60,179;53,29;57,59;60,59;62,59;55,179;57,29;61,59;62,59;64,59;64,59;62,119;58,29;62,29;65,29;67,59;69,119;65,29;62,29;65,59;65,29;62,29;60,59;62,29;65,29;62,29;69,119;62,59;69,119;69,59;69,29;67,29;65,119;60,29;69,59;65,59;69,59;69,29;67,29;65,119;62,29;65,59;67,59;67,89;62,29;65,179;62,59;64,59;65,59;65,29;67,89;65,29;62,29;60,119;62,119;57,59;60,179;57,29;60,29;57,29;60,29;62,29;65,29;62,29;65,59;69,59;65,59;72,239;70,179;69,29;67,59;65,29;67,59;65,179;60,29;62,29;60,29;65,119;67,59;67,29;62,29;60,59;62,29;60,29;65,59;67,59;65,59;62,59;57,59;62,59;60,59;57,59;62,59;60,59;57,59;55,29;53,59;57,59;55,29;53,59;57,59;55,29;53,59;48,29;57,29;60,29;60,59;57,29;62,59;60,119;53,29;57,29;55,29;53,29;55,29;57,29;53,209;58,29;62,29;65,29;65,59;62,29;67,59;65,119;63,29;62,179;60,29;62,29;60,179;53,29;57,59;60,59;62,59;55,179;64,29;65,29;67,89;67,59;65,29;64,29;65,119;65,29;62,29;65,29;65,29;62,29;65,59;69,59;65,59;65,29;62,29;65,59;69,59;60,29;69,29;67,29;65,59;60,29;69,29;67,29;65,59;69,59;69,59;69,59;69,29;67,29;65,59;60,29;69,59;65,59;69,59;69,29;67,29;65,119;62,29;65,59;67,59;67,89;62,29;65,179;62,59;64,59;65,59;65,29;67,89;65,29;62,29;60,119;62,119;61,59;60,179;57,29;60,29;57,29;60,29;62,29;65,29;62,29;65,59;69,59;65,59;72,239;70,179;69,29;67,59;65,29;67,59;65,179;60,29;62,29;60,29;65,119;67,59;67,29;62,29;60,59;62,29;60,29;65,59;67,59;65,59;62,59;57,59;62,59;60,59;57,59;62,59;60,59;57,59;55,29;53,59;57,59;55,29;53,59;57,59;60,59;62,59;62,29;65,29;62,29;65,59;65,29;62,29;65,59;69,59;65,29;62,29;65,29;62,29;65,59;69,59;60,29;69,29;67,29;65,59;60,29;69,29;67,29;65,59;69,59;67,29;69,29;67,29;65,29;62,29;60,89;60,29;69,59;65,59;69,59;69,29;67,29;65,119;62,29;65,59;67,59;67,89;62,29;65,179;62,59;64,59;65,59;65,29;67,89;65,29;62,29;60,119;62,29;60,59;62,59;60,179;69,89;57,29;60,29;57,29;60,29;62,29;65,29;62,29;69,59;65,59;65,59;72,239;70,179;69,29;67,59;65,29;67,59;65,179;60,29;62,29;60,29;65,119;67,59;67,29;62,29;60,59;62,29;60,29;69,59;62,59;65,59;57,29;62,59;65,29;60,89;62,59;60,59;57,59;57,29;53,89;57,59;55,29;53,59;57,59;55,59;53,59;62,59;60,119;62,59;60,59;57,59;55,29;53,149
Nick MacKenzie;Hello, Good Morning;384;9;4/4;309270|64,328;69,656;64,310;61,1190;69,316;68,654;64,342;62,1184;64,340;68,690;64,334;62,1248;68,332;69,656;64,322;61,1050;64,328;69,642;64,616;61,650;69,650;68,690;64,314;62,858;64,298;68,722;64,296;62,698;64,310;68,324;71,326;69,744;64,316;61,734;64,288;73,298;69,520;64,326;62,294;64,454;64,302;62,646;64,684;71,290;68,646;64,312;61,762;64,316;61,734;64,288;73,298;69,520;64,326;62,294;64,454;64,290;62,644;62,120;64,316;68,704;69,248;71,232;69,1016;69,306;66,672;66,304;68,330;71,518;69,480;66,314;66,512;64,396;63,338;64,686;69,270;66,672;66,98;68,292;69,434;68,490;69,302;73,666;71,116;70,298;71,510;64,316;61,734;64,288;73,298;69,520;64,326;62,294;64,454;64,290;62,644;62,120;64,316;68,704;69,248;71,232;69,1016;64,328;69,656;64,310;61,1190;69,316;68,654;64,342;62,1184;64,340;68,690;64,334;62,1248;68,332;69,656;64,322;61,1050;64,328;69,642;64,616;61,650;69,650;68,690;64,314;62,858;64,298;68,722;64,296;62,698;64,310;68,324;71,326;69,744;64,316;61,734;64,288;73,298;69,520;64,326;62,294;64,454;64,302;62,646;64,684;71,290;68,646;64,312;61,762;64,316;61,734;64,288;73,298;69,520;64,326;62,294;64,454;64,290;62,644;62,120;64,316;68,704;69,248;71,232;69,1016;69,306;66,672;66,304;68,330;71,518;69,480;66,314;66,512;64,396;63,338;64,686;69,270;66,672;66,98;68,292;69,434;68,490;69,302;73,666;71,116;70,298;71,510;64,316;61,734;64,288;73,298;69,520;64,326;62,294;64,454;64,290;62,644;62,120;64,316;68,704;69,248;71,232;69,1016;70,306;67,672;67,304;69,330;72,518;70,480;67,314;67,512;65,396;64,338;65,686;70,270;67,672;67,98;69,292;70,434;69,490;70,302;74,666;72,116;71,298;72,510;65,316;62,734;65,288;74,298;70,520;65,326;63,294;65,454;65,290;63,644;63,120;65,316;69,704;70,248;72,232;70,1016;65,290;63,644;63,120;65,316;69,704;70,248;72,232;70,1016;65,290;63,644;63,120;65,316;69,704;70,248;72,232;70,1016
Howard Carpendale;Mit viel viel Herz;384;1;4/4;447760|61,162;68,250;68,362;65,152;68,348;65,604;65,178;68,80;68,242;68,304;68,186;70,372;68,180;61,1060;68,280;68,34;68,270;65,56;68,390;65,408;68,640;68,266;68,80;68,58;70,372;68,340;61,678;73,122;73,226;70,48;73,362;70,52;73,340;73,654;73,164;73,124;75,316;73,270;73,570;66,220;68,204;70,846;68,292;68,348;65,60;68,304;68,358;65,188;68,320;68,128;68,312;68,346;61,270;61,416;68,144;68,132;68,300;68,244;70,642;68,542;61,1530;68,112;68,88;68,238;68,234;70,738;73,412;73,614;68,100;68,186;65,84;68,358;68,320;68,720;65,208;68,500;68,296;70,382;68,372;61,776;68,66;68,186;65,84;68,368;65,60;68,320;68,386;70,318;68,480;65,66;68,86;68,60;70,202;68,212;61,676;70,162;73,262;73,364;70,48;73,328;73,436;66,176;68,84;70,350;73,320;73,20;75,280;73,368;66,626;70,436;68,200;68,476;68,208;65,84;68,368;65,60;68,298;68,724;65,170;68,110;68,148;70,178;68,360;70,362;68,352;61,698;68,132;68,116;68,280;68,284;70,720;68,524;61,1092;68,144;68,98;68,280;68,232;70,648;73,444;73,648;78,136;78,110;78,260;78,238;78,276;78,100;77,212;75,252;77,72;77,392;75,72;75,218;73,92;73,646;78,134;78,88;78,270;78,156;80,340;78,92;78,932;75,132;75,100;75,448;77,308;78,224;75,704;75,166;75,144;75,234;77,220;78,620;80,748;73,640;68,80;68,176;65,70;68,368;65,70;68,320;68,320;68,536;68,170;65,128;68,300;68,220;70,394;68,374;61,680;68,80;68,150;65,82;68,326;68,60;68,300;68,156;68,200;70,400;68,376;65,192;68,288;68,406;70,194;68,256;61,1056;73,198;70,84;73,154;73,284;73,402;70,312;70,178;73,212;70,74;73,314;73,186;75,400;73,388;66,748;70,392;68,226;68,104;68,244;68,180;65,84;68,348;68,248;68,288;70,338;68,352;65,178;68,70;68,168;65,58;70,168;68,308;61,1404;68,152;68,78;68,256;68,230;70,652;73,448;73,986;75,156;75,100;75,252;77,214;78,580;80,748;73,940;73,150;80,706;73,1540;73,244;80,656;73,1606;73,216;80,708;73,1420;75,112;75,78;75,264;77,220;78,654;77,480;73,156;73,142;80,686;73,1596;73,240;80,774;73,1458;73,348;80,728;73,1462;75,132;75,92;75,264;77,218;78,596;80,708;73,284;73,186;80,754;73,1436;73,140;80,684;73,1598;73,164;80,644;73,1378;75,140;75,122;75,296;77,240;78,696;77,520;73,424;73,220;80,644;73,1568;73,356;80,732;73,1470;73,220;80,654;73,1348;75,112;75,64;75,260;77,216;78,700;77,534;73,288;73,188;80,644;73,1558;73,176;80,666;73,1620;73,228;80,724;73,1362;75,124;75,98;75,360;77,244;78,642;77,754;73,1426
Domino Fats;Darktown Strutters' Ball;384;21;4/4;352940|69,204;67,96;60,292;64,272;67,164;67,88;69,216;67,68;72,268;69,208;67,128;64,412;62,156;62,88;66,212;69,164;69,96;71,184;72,224;71,208;69,708;67,448;69,116;71,184;72,208;71,196;69,660;67,80;72,176;72,88;72,188;72,276;69,176;67,80;67,184;67,176;67,184;69,320;67,108;60,192;64,224;67,196;69,208;72,244;69,364;67,144;64,272;64,224;66,204;69,84;71,184;69,48;72,188;71,216;69,392;72,136;72,80;74,224;74,196;74,80;74,128;74,96;72,136;71,708;69,176;71,88;72,224;72,92;72,216;72,136;72,96;71,184;69,776;67,64;69,208;71,176;72,236;76,224;76,80;74,432;71,272;69,80;67,224;60,1092;69,256;67,96;60,292;64,272;67,164;67,88;69,216;67,68;72,268;69,208;67,156;64,256;62,156;62,88;66,212;69,164;69,96;71,184;72,224;71,208;69,708;67,448;69,116;71,184;72,208;71,196;69,660;67,80;72,176;72,88;72,188;72,276;69,176;67,80;67,184;67,176;67,184;69,320;67,108;60,192;64,224;67,196;69,208;72,244;69,364;67,144;64,272;64,224;66,204;69,84;71,184;69,48;72,188;71,216;69,392;72,136;72,80;74,224;74,196;74,80;74,128;74,96;72,136;71,708;69,176;71,88;72,224;72,100;72,216;72,136;72,96;71,184;69,776;67,64;69,208;71,176;72,236;76,224;76,80;74,432;71,272;69,80;67,224;60,1092
