ChetBaker;Summertime;120;21;4/4;0|69,69;62,118;65,118;68,118;67,238;65,118;62,118;62,58;62,69;60,58;60,69;62,118;57,178;60,70;69,429;67,58;65,69;67,58;69,69;65,118;62,238;57,479;69,58;65,69;67,538;65,69;62,69;65,58;62,69;65,58;64,790;69,58;65,69;69,479;67,133;65,69;67,58;69,69;65,59;62,118;57,479;57,58;60,133;57,69;60,58;62,70;65,118;69,58;67,309;65,118;62,178;62,310;65,189;62,359;67,238;62,118;65,118;67,77;68,164;65,58;62,310;57,69;62,58;65,69;69,59;74,118;72,58;73,69;74,58;69,253;67,70;69,58;71,69;74,118;77,58;74,69;71,118;69,238;67,58;65,69;61,58;62,69;64,58;65,36;64,44;62,58;64,69;65,58;69,69;72,58;71,69;70,58;65,69;62,58;60,69;61,58;69,189;67,118;67,58;66,69;65,58;58,373;65,69;64,118;57,58;62,253;62,70;57,69;62,358;65,58;69,133;62,309;65,58;62,133;65,309;64,58;62,133;66,309;62,58;66,133;67,310;70,478;68,118;69,118;64,118;67,58;65,69;61,58;59,310;57,69;62,118;62,58;62,69;64,238;65,179;62,70;57,69;62,58;64,69;65,58;64,69;63,58;64,69;67,58;64,69;65,58;69,69;72,358;69,118;70,118;69,58;67,69;60,118;62,58;61,189;64,58;62,310;69,118;74,479;72,58;73,69;74,58;74,189;72,58;69,310;74,478;69,58;68,133;74,254;68,58;67,309;65,58;64,310;62,58;65,69;74,59;73,58;69,70;61,58;64,69;67,58;70,69;67,58;69,69;65,58;67,69;64,58;65,69;69,58;70,36;69,44;68,58;69,69;70,58;69,69;74,58;69,69;68,118;67,118;62,58;65,310;62,69;65,58;62,70;62,69;65,58;62,309;65,58;62,70;62,69;65,58;62,69;65,58;62,69;62,118;65,58;65,69;67,58;69,70;65,118;67,58;69,253;62,69;65,118;67,58;69,189;67,58;67,69;65,119;60,189;57,58;55,190;56,118;59,58;57,429;60,58;57,69;59,118;62,58;59,69;61,118;64,58;61,69;62,178;69,70;74,478;72,58;73,69;74,29;69,238;67,58;68,69;69,29;62,309;60,58;61,69;62,29;57,253;62,70;69,238;65,58;69,189;65,58;69,189;67,58;65,69;67,58;69,69;65,118;62,238;57,239;69,238;65,118;67,479;65,133;62,69;65,58;62,69;65,58;64,790;69,238;65,58;69,310;67,58;65,69;67,58;69,69;65,119;62,118;57,479;57,58;60,133;57,69;60,58;62,70;65,119;67,309;65,118;62,178;62,787
EllaFitzgeral;Summertime;96;21;4/4;0|67,35;65,0;69,454;67,0;65,48;67,96;69,96;65,96;62,288;57,572;69,96;65,96;69,96;67,476;65,0;62,48;65,96;67,96;65,96;64,528;69,211;65,0;69,64;65,0;69,458;67,96;65,48;67,96;69,96;65,96;62,288;57,288;57,144;60,192;57,48;60,48;62,96;65,140;69,92;67,332;65,96;62,576;69,23;69,70;65,0;69,67;69,451;67,0;65,48;67,92;69,92;65,92;62,288;57,572;69,96;65,96;67,192;65,92;67,288;65,0;62,48;65,96;67,96;65,96;64,572;69,23;69,70;65,0;69,0;69,451;67,0;65,48;67,92;69,92;65,92;62,288;64,288;57,96;60,92;60,240;60,54;62,48;65,140;68,58;67,96;65,48;62,48;65,48;67,48;65,48;62,48;60,48;62,332;69,96;73,48;77,380;76,44;74,44;76,44;74,44;69,0;67,55;65,137;62,24;60,24;62,572
GeorgeGershwin2;Summertime;96;21;4/4;0|69,96;65,108;69,396;67,68;65,40;67,68;69,36;65,104;62,208;57,192;69,92;65,100;67,40;67,296;65,60;62,40;65,60;62,40;65,100;64,420;69,80;65,60;69,32;69,64;69,252;67,68;65,40;67,64;69,32;65,88;62,196;57,284;57,108;60,96;57,48;60,56;62,104;65,104;69,60;67,140;65,156;65,52;62,372;69,44;69,64;65,68;69,44;69,320;69,36;67,72;65,36;67,64;69,32;65,96;62,212;57,244;69,88;65,56;67,32;67,64;67,196;65,68;62,40;65,64;62,40;65,100;64,376;69,20;69,56;65,44;69,40;69,344;67,68;65,32;67,60;69,36;65,100;62,196;57,272;57,112;60,88;57,44;60,52;62,108;65,104;69,60;67,140;65,148;65,60;62,228;67,188;65,100;65,224;63,196;66,204;61,64;59,376
GeorgeGershwin;Summertime;120;21;4/4;0|69,36;65,30;68,18;69,368;67,40;65,28;67,38;69,42;67,42;65,70;62,42;57,304;56,14;55,14;54,20;69,40;65,40;67,154;67,282;65,50;65,58;67,32;65,66;64,792;69,22;65,26;69,472;65,22;66,4;67,34;65,18;67,34;69,34;67,22;65,34;62,40;57,82;56,16;55,12;54,18;53,16;72,104;69,66;67,2;72,22;74,60;77,24;79,64;77,26;81,4;80,92;79,60;77,24;80,24;77,26;74,24;72,52;73,0;74,28;74,266;68,50;69,32;69,52;74,20;73,16;72,8;69,54;65,20;68,30;69,48;67,52;67,64;65,34;62,60;65,76;69,24;71,8;72,22;74,166;76,56;77,36;76,46;74,30;72,44;71,32;70,4;64,68;64,12;65,26;65,8;66,24;67,24;68,24;69,10;69,106;69,76;69,38;70,62;70,36;69,66;69,34;69,72;69,36;70,62;72,36;69,62;70,38;69,244;68,16;69,30;65,6;69,80;70,18;69,50;69,341;65,4;67,44;65,26;67,70;67,34;68,12;69,42;65,176;62,460;72,60;69,34;67,2;72,58;74,24;77,42;72,16;80,96;79,58;77,22;80,46;79,32;77,56;77,62;74,182;74,300;74,0;69,492;76,290;77,28;65,968;76,74;74,102;69,412;74,62;69,108;76,34;65,304;77,168;79,136;77,320;77,76;77,32;77,60;76,166;76,70;77,22;76,582;76,24;75,2;74,8;73,12;72,18;71,24;69,136;65,32;66,28;62,62;65,34;63,0;69,40;70,22;71,8;72,6;73,2;74,42;69,30;74,30;65,38;77,52;76,2;76,28;74,46;69,160;74,162;69,160;77,318;74,54;69,72;70,2;65,106;76,30;77,48;76,14;76,34;74,40;69,22;72,24;72,72;69,36;76,0;67,4;72,36;71,4;70,2;69,4;68,10;67,8;66,4;65,10;61,26;55,26;61,6;60,16;65,70;65,28;61,138;64,46;62,166;57,10;62,50;62,64;65,414;62,28;65,42;69,24;72,150;72,96;64,28;71,70;72,30;71,46;69,146;69,60;69,66;70,30;69,58;69,74;69,38;74,62;76,36;77,234;77,66;77,32;77,58;77,36;77,158;77,58;78,26;79,38;78,0;80,34;80,12;81,111;81,20;82,44;81,382;62,30;67,22;69,10;74,158;65,20;74,34;76,22;77,102;76,68;74,16;76,108;74,50;73,18;74,106;69,38;68,18;69,112;67,54;65,26;67,68;69,28;67,46;66,10;65,14;64,16;63,16;62,10;61,10;60,16;60,30;58,24;61,42;64,26;67,54;70,36;69,70;67,24;65,6;64,18;62,298;69,64;65,40;64,46;65,34;64,42;62,34;65,106;67,66;65,28;67,100;68,38;59,30;68,68;69,24;73,8;74,29;77,59;76,66;74,234;69,142;74,27;73,56;74,78;69,176;65,144;67,22;69,108;69,112;69,70;70,33;69,72;70,34;69,102;69,70;70,34;71,0;72,60;71,2;70,32;69,66;70,54;70,42;69,66;67,34;64,32;62,188;69,146;67,22;65,62;64,46;62,72;64,30;65,62;67,24;69,28;74,292;70,50;69,58;67,60;65,30;62,40;65,32;68,36;69,72;68,14;69,76;72,92;73,8;68,12;69,32;67,20;65,46;62,352;69,20;68,14;69,24;65,28;69,286;67,36;65,26;67,74;68,8;69,30;68,2;67,42;65,28;63,2;62,162;57,40;69,36;65,22;67,128;67,298;65,54;62,16;64,4;65,50;67,26;65,40;64,632;69,48;70,12;71,6;72,4;74,170;76,30;77,46;76,26;74,50;69,144;67,70;65,24;67,36;69,26;67,46;65,28;62,44;62,38;61,12;60,8;59,12;58,18;57,8;57,68;72,112;69,66;67,2;72,26;74,70;77,22;79,68;77,18;79,2;79,22;80,86;79,60;77,28;79,14;80,34;79,6;77,2;77,28;74,258;70,36;72,34;73,60;75,32;72,60;73,102;74,76;73,12;72,46;69,138;74,144;71,266;62,394;71,0;65,72
JanisJoplin;Summertime;96;21;4/4;0|69,158;65,29;69,445;67,61;65,29;67,62;69,29;65,92;62,188;57,285;69,157;65,25;67,62;67,317;65,61;62,29;65,61;62,29;65,92;64,460;69,93;65,25;69,62;69,93;69,281;67,61;65,29;67,62;69,29;65,92;62,188;57,384;57,76;60,94;57,61;60,29;62,61;65,125;69,63;67,125;65,188;62,793;69,62;69,61;65,63;69,62;69,307;69,29;67,61;65,30;67,61;69,29;65,76;62,190;57,307;69,158;65,29;67,62;67,93;67,221;65,61;62,29;65,61;62,29;65,76;64,572;69,29;69,61;65,29;69,62;69,332;67,61;65,29;67,61;69,29;65,76;62,190;57,384;57,92;60,94;57,61;60,29;62,62;65,125;69,63;67,125;65,153;62,460;69,158;65,29;69,445;67,61;65,29;67,62;69,29;65,92;62,188;57,285;69,157;65,25;67,62;67,317;65,61;62,29;65,61;62,29;65,92;64,460;69,93;65,25;69,62;69,93;69,281;67,61;65,29;67,62;69,29;65,92;62,188;57,384;57,76;60,94;57,61;60,29;62,61;65,125;69,63;67,125;65,188;62,793;69,62;69,61;65,63;69,62;69,307;69,29;67,61;65,30;67,61;69,29;65,76;62,190;57,307;69,158;65,29;67,62;67,93;67,221;65,61;62,29;65,61;62,29;65,76;64,572;69,29;69,61;65,29;69,62;69,332;67,61;65,29;67,61;69,29;65,76;62,190;57,384;57,92;60,94;57,61;60,29;62,62;65,125;69,63;67,125;65,153;62,1766
NathenPage;Summertime;96;21;4/4;0|69,21;67,17;69,401;67,18;65,16;67,46;69,46;67,21;65,28;62,121;57,158;58,124;62,115;69,16;65,20;67,241;69,12;65,28;67,222;65,26;65,38;67,29;64,114;72,22;70,47;67,62;60,32;61,46;58,119;69,17;67,23;69,392;67,36;67,47;69,41;67,16;65,30;62,112;57,69;54,135;58,25;57,47;58,68;61,72;60,156;57,43;60,24;62,16;64,23;65,39;69,116;67,27;65,65;64,66;62,116;57,137;50,123;46,71;39,58;69,13;67,22;69,115;64,71;65,71;67,136;67,14;65,22;67,43;69,44;67,14;65,30;62,46;38,99;62,62;62,67;45,51;50,69;52,67;50,50;69,19;65,20;67,44;43,67;62,73;50,50;69,17;65,24;67,38;41,66;60,73;48,84;40,53;72,47;70,4;65,18;61,21;60,39;58,24;57,45;55,16;57,42;58,22;60,40;62,27;64,35;65,23;67,43;69,45;69,44;69,41;69,93;60,47;65,124;67,15;65,23;67,44;69,36;67,28;65,37;60,8;61,8;62,29;60,4;61,11;62,36;57,71;54,21;42,47;43,67;61,65;60,66;61,66;60,96;57,45;60,26;62,39;64,24;65,39;67,30;69,58;67,52;65,134;64,22;62,74;62,42;62,66;62,72;58,21;57,208;79,12;80,10;81,51;74,49;74,68;50,92;39,48;40,88;72,10;77,8;73,34;70,22;69,7;72,5;68,16;67,20;66,17;65,19;61,18;60,17;58,24;57,60;64,55;67,65;66,24;65,42;62,27;58,60;57,43;60,21;57,19;58,12;62,24;65,22;69,22;72,27;69,20;70,16;74,17;77,22;81,19;84,29;79,7;80,12;81,40;79,43;77,66;77,22;74,41;70,31;67,9;68,15;69,35;62,46;65,129;62,74;67,19;69,44;72,80;70,16;65,21;61,26;60,48;52,48;69,16;67,23;69,45;45,26;38,46;64,63;65,67;67,124;67,17;65,19;67,44;69,49;67,17;65,26;62,57;62,51;57,69;54,21;42,51;43,65;58,62;61,69;48,60;42,30;41,43;48,21;60,20;57,16;60,21;62,25;64,22;65,24;67,43;69,92;67,46;65,95;60,73;65,71;65,113;65,67;65,133;46,23;69,16;70,17;74,20;77,22;81,21;86,25;81,110;74,69;67,136;63,93;84,71;82,18;77,15;74,26;72,88;76,15;79,28;72,43;69,25;64,41;62,22;60,61;65,49;60,71;57,23;42,44;43,127;74,34;77,27;74,31;70,37;72,36;67,14;68,9;69,23;67,40;66,28;65,40;62,26;58,59;55,7;56,14;57,45;60,46;58,133;46,19;45,45;60,18;61,19;65,22;69,24;72,17;70,16;65,39;60,38;58,24;57,62;64,47;62,78;50,59;65,60;67,64;45,72;69,16;70,20;74,23;77,26;81,41;84,39;79,4;80,11;81,25;79,63;77,25;74,36;70,23;69,42;67,19;72,72;70,14;65,21;61,28;60,33;58,21;57,67;60,23;57,14;60,21;62,39;64,24;65,37;67,30;67,10;68,8;69,31;67,43;65,85;60,40;69,266;46,105;46,57;46,25;74,59;69,44;69,81;69,40;46,18;39,67;40,62;46,43;45,24;72,9;77,13;73,13;72,23;70,45;69,63;67,26;62,49;50,15;67,40;66,23;65,42;62,22;58,40;56,20;57,43;60,21;55,48;54,67;53,70;57,21;58,21;62,20;65,24;69,37;72,22;70,37;67,62;68,21;72,34;77,26;82,42;80,43;79,22;77,23;82,12;83,12;86,61;79,18;73,20;72,37;70,29;69,30;68,26;67,33;72,29;65,38;61,25;60,59;58,43;63,28;64,229;65,101;67,19;65,17;67,43;69,41;67,13;65,44;62,46;62,38;57,70;54,24;42,44;43,58;62,26;60,38;61,65;42,62;41,65;48,22;60,15;57,20;60,23;62,39;64,23;65,36;67,28;69,58;67,44;65,152;65,59;65,102;65,57;65,118;65,53;65,46;64,32;67,59;67,180;40,61;46,27;72,32;73,32;75,13;76,22;79,27;78,35;77,34;74,30;71,18;67,59;70,14;71,7;72,61;70,10;65,16;61,23;60,39;58,24;57,64;60,40;55,14;58,22;62,21;65,32;67,10;68,12;69,31;67,5;68,10;69,22;67,12;68,12;69,31;68,13;67,22;67,103;48,20;72,12;70,15;65,19;61,23;60,56;58,47;57,62;55,21;57,39;58,21;60,24;62,19;64,16;65,19;67,21;69,20;72,21;67,23;71,22;70,35;72,18;69,16;70,16;74,18;77,22;81,21;86,25;79,16;81,57;76,48;79,85;77,19;74,15;71,21;67,73;72,5;77,10;73,14;72,18;70,16;69,42;72,23;67,43;69,24;64,66;69,39;65,27;62,36;58,20;57,62;60,62;60,46;58,94;41,100;48,21;60,16;57,16;60,23;62,39;64,24;65,34;67,28;69,63;67,43;65,110;57,19;64,22;64,376;64,67;46,53;69,19;67,15;69,45;38,86;64,66;50,45;40,63;65,55;69,15;65,18;67,79;69,18;67,26;65,24;62,50;62,43;50,63;57,122;65,20;65,44;65,65;57,65;58,113;69,20;65,17;67,43;50,19;67,165;65,18;65,39;67,22;65,42;62,6;63,14;64,110;50,69;46,25;72,35;73,23;75,39;76,22;76,37;75,22;73,42;72,23;70,39;69,21;67,39;69,89;67,106;67,112;67,16;65,20;67,40;69,23;67,42;65,40;60,6;61,7;62,27;60,6;61,9;62,33;57,68;54,24;42,44;53,60;61,63;60,62;61,64;60,87;57,43;60,27;62,32;64,26;65,41;69,20;69,57;67,104;65,44;64,46;65,97;65,92;60,24;60,62;60,191;46,5;45,22;38,31;44,17;45,11;50,41;64,155;39,39;46,64;65,128;45,29;38,34;45,26;50,42;64,157;39,32;46,23;51,43;65,131;46,30;38,37;45,25;50,39;64,155;39,31;46,30;51,37;65,58;63,69;64,141;57,26;59,21;64,17;57,19;59,18;64,31;59,21;64,14;57,20;59,20;57,23;59,12;43,12;50,13;57,21;59,24;57,24;59,13;64,32;59,33;64,16;57,8;59,31;59,14;64,23;53,17;76,31;69,17;71,23;76,38;81,31;83,58;98,76;95,44;98,55
Webdog;Summertime;96;21;4/4;0|50,16;62,10;65,10;69,12;76,32;74,32;65,24;67,20;58,8;62,8;67,12;72,20;70,28;65,28;67,20;61,8;72,8;70,34;69,20;45,4;58,12;61,6;67,28;65,24;57,10;60,14;64,114;62,72;62,10;65,12;69,8;76,20;74,32;65,24;67,16;62,6;67,10;72,22;70,24;65,24;67,16;62,14;70,32;69,16;49,12;58,6;61,6;67,20;65,24;57,10;64,84;62,40;62,64;62,42;69,28;65,32;58,8;62,14;68,24;67,36;65,52;62,76;62,12;67,18;70,8;76,24;74,20;72,16;70,24;69,12;67,16;65,24;64,24;65,40;62,124;65,20;67,20;67,20;68,16;67,12;65,8;67,24;68,12;67,12;65,12;67,24;68,16;67,6;65,20;67,32;65,28;62,48;64,12;62,8;60,48;62,40;62,8;65,12;69,7;72,20;71,24;67,12;69,24;67,8;69,15;67,12;65,16;64,20;65,32;45,7;64,32;62,48;60,60;57,52;50,16;57,12;60,7;64,12;65,16;69,24;69,24;65,40;68,12;69,404;62,4;67,28;65,28;67,36;68,24;67,20;65,20;62,20;60,20;61,10;62,32;61,7;62,36;57,280;69,24;65,32;66,10;67,40;67,296;62,4;65,56;62,8;65,56;62,16;65,64;64,216;67,28;72,24;76,0;79,12;77,20;76,20;74,20;72,32;70,20;69,32;67,28;68,16;69,28;67,24;65,20;66,8;67,28;68,11;69,32;68,7;69,32;68,9;69,30;68,14;69,236;62,0;67,32;65,32;67,36;68,28;67,20;65,16;62,32;60,12;61,6;62,28;61,10;62,28;57,376;67,20;69,40;70,20;72,52;69,28;72,40;74,52;77,56;80,32;79,28;77,136;74,28;72,64;74,572;67,4;65,0;62,4;57,4;62,20;65,0;69,20;71,0;69,12;71,8;67,8;69,12;65,4;62,16;62,4;67,3;70,7;74,16;77,0;76,12;74,12;70,0;67,12;62,0;56,4;58,0;61,4;64,4;67,0;69,4;72,0;76,4;79,0;81,0;62,0;63,4;64,0;69,8;71,0;74,0;76,12;77,4;81,4;84,0;83,4;62,0;65,12;68,0;67,0;65,0;69,4;76,152;76,20
